ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-232,226,-140,863,-1106,-478,-2,-1,-2
-319,368,-277,536,-897,-1030,-2,-1,-2
-433,449,-364,92,-570,-1377,-2,-1,-2
-721,546,-385,-170,-240,-1505,-2,-1,-2
-722,591,-531,-154,495,-1556,-2,0,-2
-951,597,-424,-613,594,-1775,-1,0,-2
-1429,881,-228,-1320,868,-1404,-1,0,-2
-1208,696,23,-1416,527,-1229,0,0,-2
-1288,511,121,-1360,498,-1054,0,0,-2
-1415,380,103,-1670,85,-530,0,0,-2
-1588,332,484,-1393,550,-209,0,0,-2
-1748,315,579,-1423,105,330,0,0,-2
-1518,192,729,-902,25,842,0,0,-2
-1413,196,728,-556,-103,1087,0,0,-1
-1283,168,638,-280,-485,1151,0,0,-2
-1260,210,577,154,-731,1266,0,0,-2
-1069,154,522,436,-837,1400,0,0,-2
-805,148,452,435,-1036,1456,-1,0,-2
-538,88,415,625,-1130,1235,-1,0,-2
-348,65,299,779,-1414,901,-2,0,-3
-245,91,181,995,-1183,456,-2,-1,-2
-231,238,-14,979,-1184,-109,-2,-1,-2
-306,226,-78,815,-886,-574,-2,-1,-2
-458,468,-270,757,-801,-1130,-2,-1,-2
-631,596,-331,326,-576,-1316,-2,-1,-2
-542,613,-260,-74,-225,-1416,-2,0,-2
-755,644,-178,-317,144,-1682,-1,0,-2
-910,705,-7,-842,68,-1508,-1,0,-2
-1116,694,25,-781,539,-1561,0,0,-2
-1340,690,81,-1349,522,-1114,0,0,-2
-1401,589,322,-1559,347,-431,0,0,-2
-1375,373,371,-1631,336,-111,0,0,-2
-1250,274,401,-1644,52,204,0,0,-2
-1215,122,501,-1738,97,338,1,0,-2
-1342,127,679,-1787,-336,438,1,0,-2
-1425,51,782,-1138,-620,643,1,0,-2
-1411,-48,872,-692,-710,842,1,0,-2
-1212,-155,898,-77,-679,875,0,0,-3
-1034,-190,881,-108,-1244,856,0,0,-3
-824,-185,835,445,-1321,826,0,0,-3
-517,-173,620,812,-1682,688,0,0,-4
-372,-125,570,1047,-1680,424,0,0,-4
-243,-81,399,1117,-1732,42,0,-1,-4
-123,34,338,928,-1386,-464,0,-1,-4
-225,196,248,641,-1125,-944,-1,-2,-4
-256,307,170,514,-481,-1103,-1,-2,-4
-357,374,91,245,-353,-1278,-1,-2,-4
-489,406,75,-42,14,-1472,-1,-2,-4
-726,461,134,-492,243,-1498,-1,-1,-4
